PIT_TAG_#,DATE,TIME,RESEARCHER,RECAPTURE,SPECIES,WEATHER,CLOUD_COVE,WIND,AIR_TEMP,GROUND_TEM,BEHAVIOUR,MACRO_HABI,MICRO_HABI,LOCATION,EASTING,NORTHING,DEN_SITE,COMMENTS,PILLOW_CAS,SVL,VTL,S+B,BAG,MASS,SEX,AGE_CLASS,GRAVID,PHOTO_#,REL_DATE,REL_TIME,REL_RESEAR,REL_LOCATI,DAYS_IN_CA
0a13677609,5/30/2014,10:06:06,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,3/9,Breeze,19.5,20.0,Moving,CONSTRUCTION SITE,cheatgrass,btwn dev site road & green 8,322620.9722,5434539.315,,,28,59.9,3.2,235.0,110.0,125.0,Female,Adult,No,110-3416,5/30/2014,10:16,JRM & JMM,same as capture,0
4a1e1e2067,5/30/2014,11:10:49,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,4/9,Breeze,27.1,26.6,Coiled,CONSTRUCTION SITE,on sand beside fence,N Dev site fence,322647.708,5434860.965,,BURROWS: not captured,,0.0,0.0,0.0,0.0,0.0,Male,Adult,N/A,,5/30/2014,,,,0
sighting,5/30/2014,11:30:57,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny/Cloudy,4/9,Breeze,26.0,24.0,Moving,CONSTRUCTION SITE,sand beside fence,N Dev site fence,322648.79,5434863.525,,"found within 5m of ""burrows""",,0.0,0.0,0.0,0.0,0.0,,Adult,,,5/30/2014,,,,0
too small,5/30/2014,11:42:52,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny/Cloudy,4/9,Breeze,29.8,27.2,Coiled,CONSTRUCTION SITE,on sand beside fence,N Dev site fence,322665.3972,5434876.57,,SIGHTING,,0.0,0.0,0.0,0.0,0.0,,Baby,,,5/30/2014,,,,0
4a6c1f5f47,5/30/2014,12:00:54,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,4/9,Breeze,30.6,30.6,Coiled,CONSTRUCTION SITE,on sand inside fence,NE dev site fence,322697.9444,5434876.17,,,43,55.3,3.5,215.0,83.0,132.0,Female,Adult,No,110-3417,5/30/2014,12:15,JRM & JMM,outside fence draw,0
4a4f316a48,5/30/2014,14:53:44,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,7/9,Slight wind,25.6,30.3,Coiled,RESIDENTIAL/COMMERCIAL,gravel road,gate to staff housing area,322161.6204,5434448.349,,,36,63.3,4.2,406.0,72.0,334.0,Female,Adult,No,110-3419,5/30/2014,17:55,JRM & JMM,downslope,0
445e1b2963,5/30/2014,17:52:46,JRM & JMM,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,Moving,RESIDENTIAL/COMMERCIAL,open gravel,behind fountain @ centre,322115.041,5434961.383,,R2D2,77,65.1,5.6,341.0,81.0,260.0,Male,Adult,N/A,110-3420,5/30/2014,17:55,JRM & JMM,downslope highdesert,0
0a13654b2f,5/29/2014,16:10:52,CG Staff,TRUE,GOPHER SNAKE,,,,0.0,0.0,,CAMPGROUND,rock garden,path near store,321492.3468,5434742.737,,shedding site,99,95.3,16.0,580.0,118.0,462.0,Female,Adult,Yes,110-3431,6/2/2014,19:40,JRM & JMM,upslope from capture,0
493a417314,5/31/2014,19:05:52,CG Staff,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,RESIDENTIAL/COMMERCIAL,gravel path,path across from stables,321779.9478,5434528.557,,4 new rattles,40,51.7,3.1,241.0,121.0,120.0,Female,Adult,No,110-3427,6/2/2014,19:10,JRM & JMM,high desert,0
0a180d5f7d,6/2/2014,10:16:22,JRM & JMM,FALSE,GOPHER SNAKE,Sunny/Cloudy,3/9,Breeze,22.3,23.5,Basking,GOLF COURSE,open grass,above green 8,322619.956,5434553.63,,,26,78.4,12.4,342.0,100.0,242.0,Female,Adult,No,110-3421,6/2/2014,10:32,JRM & JMM,same as capture,0
0a1367755c,6/2/2014,11:03:42,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,4/9,Breeze,29.2,31.5,Moving,GOLF COURSE,open mowed grass,fairway 7,322582.421,5434793.766,,,44,48.4,3.8,214.0,103.0,111.0,Male,Sub-Adult,N/A,110-3422,6/2/2014,11:16,JRM & JMM,same as capture,0
4a6c546200,6/2/2014,11:50:34,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny,4/9,Breeze,28.9,30.4,Coiled,CONSTRUCTION SITE,under tumbleweed,N d site fence,322649.0518,5434858.737,,paint: cream & light blue,44,56.1,3.3,233.0,103.0,120.0,Female,Adult,No,110-3423,6/2/2014,12:10,JRM & JMM,same as capture,0
0a180d5f50,6/2/2014,12:18:09,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny,4/9,Breeze,36.1,32.5,Coiled,CONSTRUCTION SITE,opensand along fence,outside dev site fence,322659.5704,5434868.752,,north side dev site,26,51.4,3.4,211.0,100.0,111.0,Female,Sub-Adult,No,110-3425,6/2/2014,12:40,JRM & JMM,same as capture,0
too small,6/2/2014,18:18:01,JRM & JMM,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,PINE STAND,near pine tree,interp trail pictograph,322238.5526,5435311.528,,likely male - Based on tail length,23,38.0,3.0,140.0,101.0,39.0,,Juvenile,N/A,110-3428,6/2/2014,19:18,JRM & JMM,same as capture,0
0a180d5f69,6/2/2014,18:43:59,Interpreters,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,RESIDENTIAL/COMMERCIAL,grass,behind trailer at helipad,321762.4427,5434564.798,,,ps i love you,55.7,2.9,232.0,105.0,127.0,Female,Adult,No,110-3426,6/2/2014,19:40,JRM & JMM,high desert,0
4c132e4f4d,6/2/2014,21:00:52,CG Staff,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,,site #8,321570.8553,5434642.576,,4 new rattes-had blue polish,43,61.6,3.7,227.0,84.0,143.0,Female,Adult,No,110-3436,6/3/2014,,,,0
0a13654b4a,6/2/2014,21:22:44,CG Staff,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,,site #8,321547.7356,5434655.434,,1 new rattle since 2011 capture,36,53.5,3.1,166.0,72.0,94.0,Female,Adult,No,110-3434,6/3/2014,,,,0
4c1e773369,5/28/2014,15:30:17,JH,TRUE,GOPHER SNAKE,,,,0.0,0.0,,RESIDENTIAL/COMMERCIAL,,front of center,322094.3661,5434918.756,,,7,91.2,15.1,337.0,111.0,226.0,Male,Adult,N/A,110-3411,6/3/2014,15:30,JRM & JMM,high desert,6
0a180d5f65,6/3/2014,12:10:46,Interpreters,FALSE,N. P. RATTLESNAKE,Sunny/Cloudy,4/9,Breeze,0.0,0.0,Coiled,SHRUB STEPPE,antelopebrush,1st shelter interp trail,322076.4328,5435116.706,,,30,49.1,3.6,210.0,127.0,83.0,Male,Sub-Adult,N/A,110-3433,6/3/2014,15:30,JRM & JMM,same as capture,0
0a180d5f47,6/4/2014,12:12:05,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,4/9,Breeze,28.4,26.5,Coiled,SHRUB STEPPE,on antelopebrush,,322075.363,5435119.049,,lostPIT:4a4e044610 orange t-blue lt-blue,8,56.6,4.0,242.0,90.0,152.0,Female,Adult,No,110-3443,6/4/2014,11:55,JRM & JMM,same as capture,0
0a180d6004,6/4/2014,13:30:44,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny/Cloudy,4/9,Breeze,30.4,29.0,Coiled,SHRUB STEPPE,under bridge,spadefoot bridge,322151.8153,5435042.653,,,77,53.2,3.9,236.0,82.0,154.0,Male,Sub-Adult,N/A,110-3444,6/4/2014,13:30,JRM & JMM,same as capture,0
0a180d5f5a,6/3/2014,14:20:20,Interpreters,FALSE,GOPHER SNAKE,,,,0.0,0.0,,RESIDENTIAL/COMMERCIAL,gravel,gate near centre,322097.8289,5434943.887,,,40,73.4,13.1,249.0,121.0,128.0,Female,Adult,No,110-3442,6/3/2014,15:30,JRM & JMM,high desert,0
0a180d5f3e,6/5/2014,08:00:42,JRM & JMM,FALSE,GOPHER SNAKE,Sunny,1/9,Strong wind,18.5,19.0,Other,RESIDENTIAL/COMMERCIAL,gravel path,staff entrance at center,322131.2377,5434879.179,,,7,55.4,8.4,212.0,111.0,101.0,Female,Sub-Adult,No,110-3446,6/5/2014,12:05,JRM & JMM,above centre fence,0
0a180d5f77,6/4/2014,19:30:51,CG Staff,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,open gravel,site 172,321398.819,5435133.297,,,ps i love you,49.1,3.9,191.0,104.0,87.0,Female,Sub-Adult,No,110-3449,6/5/2014,12:50,JRM & JMM,high desert,0
0a180d6001,6/6/2014,08:47:06,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny,1/9,Breeze,19.6,16.5,Basking,GOLF COURSE,open dirt,b/w hole 1 and fence,322192.047,5434864,,,79,57.1,4.5,232.0,99.0,133.0,Male,Adult,N/A,110-3450,6/6/2014,9:05,JRM & JMM,same as capture,0
0a1367760b,6/6/2014,10:25:35,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny,2/9,No wind,24.1,23.6,Basking,GOLF COURSE,open cheatgrass,hole 3 teebox,322231.1747,5435035.765,,,26,52.2,4.0,210.0,98.0,112.0,Male,Sub-Adult,N/A,110-3451,6/6/2014,10:34,JRM & JMM,same as capture,0
4532697b31,6/5/2014,16:30:02,CG Staff,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,,campsite c37,321692.0952,5434508.343,,2 new rattle segments,23,59.8,3.7,284.0,101.0,183.0,Female,Adult,No,110-3452,6/6/2014,15:15,JRM & JMM,high desert,1
0a180d5f5e,6/9/2014,11:36:24,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny,3/9,Breeze,27.6,27.5,Basking,SHRUB STEPPE,sand beside fence,CG fence,321552.4611,5434875.403,,,AB,43.4,3.5,162.0,100.0,62.0,Male,Juvenile,N/A,110-3457,6/9/2014,11:55,JRM & JMM,same as capture,0
sighting,6/9/2014,14:28:55,JRM & JMM,FALSE,GOPHER SNAKE,Sunny/Cloudy,8/9,Breeze,29.2,31.3,Coiled,GOLF COURSE,in irrigation box,tee 9,322521.0768,5434572.542,,,,0.0,0.0,0.0,0.0,0.0,,,,,6/9/2014,,,,0
0a180d5f6e,6/10/2014,09:38:31,JRM & JMM,FALSE,N. P. RATTLESNAKE,Cloudy,9/9,Strong wind,20.5,24.6,Basking,GOLF COURSE,near antelopebrush,between 4 and 5,322463.366,5434744.96,,,13,61.1,4.4,262.0,137.0,125.0,Male,Adult,N/A,110-3458,6/10/2014,10:00,JRM & JMM,same as capture,0
0a180d600a,6/10/2014,10:49:55,JRM & JMM,TRUE,GOPHER SNAKE,Cloudy,9/9,Slight wind,23.0,24.3,Coiled,RESIDENTIAL/COMMERCIAL,sand beside fence,N dev site fence,322605.9229,5434804.374,,,99,79.8,14.2,265.0,112.0,153.0,Male,Adult,N/A,110-3459,6/10/2014,11:00,JRM & JMM,same as capture,0
0a180d6006,6/10/2014,11:16:45,JRM & JMM,FALSE,N. P. RATTLESNAKE,Cloudy,9/9,Slight wind,19.3,23.1,Coiled,CONSTRUCTION SITE,open sand,NE section of fence outside,322644.4522,5434855.623,,,36,49.7,2.9,157.0,71.0,86.0,Female,Adult,No,110-3460,6/10/2014,11:35,JRM & JMM,same as capture,0
4a1e1e2067,6/10/2014,11:39:11,JRM & JMM,TRUE,N. P. RATTLESNAKE,Cloudy,9/9,Slight wind,19.3,23.1,Coiled,CONSTRUCTION SITE,open sand,NE snake fence,322645.3015,5434856.71,,BURROWS:sighting,,0.0,0.0,0.0,0.0,0.0,,,,,6/10/2014,,,,0
0a180d5f30,6/10/2014,11:58:09,JRM & JMM,FALSE,N. P. RATTLESNAKE,Cloudy,9/9,No wind,21.5,24.5,Basking,CONSTRUCTION SITE,open grass,N snake fence,322658.6784,5434871.756,,,77,42.8,2.9,137.0,83.0,54.0,Female,Sub-Adult,No,110-3462,6/10/2014,16:15,JRM & JMM,same as capture,0
too small,6/10/2014,14:28:26,CG Staff,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,,site c137,321446.7341,5434418.774,,,,0.0,0.0,0.0,0.0,0.0,,Baby,N/A,,6/10/2014,16:10,JRM & JMM,high desert,0
too small,6/10/2014,14:32:17,CG Staff,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,,staffresidents behind store,321506.4041,5434727.946,,,,0.0,0.0,0.0,0.0,0.0,,Baby,N/A,,6/10/2014,16:10,JRM & JMM,high desert,0
too small,6/10/2014,16:19:53,JH,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,RESIDENTIAL/COMMERCIAL,water feature stream,centre gallery,322121.5665,5434968.491,,,7,0.0,0.0,0.0,0.0,0.0,,Baby,N/A,,6/10/2014,16:12,JRM & JMM,high desert,0
0a180d5f78,6/11/2014,15:39:18,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny/Cloudy,8/9,Breeze,31.6,29.8,Coiled,OTHER,seadoo rack in water,7800 cottonwood dr,321187.3322,5434307.995,,luna rosa complex,28,57.2,3.5,269.0,107.0,162.0,Female,Adult,Yes,110-3464,6/11/2014,16:40,JRM & JMM,high desert,0
too small,6/11/2014,12:45:59,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny/Cloudy,,,0.0,0.0,,RESIDENTIAL/COMMERCIAL,gravel,left of winery rounded window,321968.823,5434802.685,,,14,0.0,0.0,0.0,0.0,0.0,,Baby,,,6/11/2014,15:15,JRM & JMM,high desert,0
too small,6/11/2014,14:02:12,Other,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,CONSTRUCTION SITE,rocks beside deck,spirit ridge phase 3 #11,322637.1324,5434734.469,,,ps i love you,0.0,0.0,0.0,0.0,0.0,,Baby,,,6/11/2014,16:05,JRM & JMM,north of dev site,0
445e1b2963,6/12/2014,10:00:43,Interpreters,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,SHRUB STEPPE,pond/riparian,spadefoot pond,322152.0546,5435023.072,,captured partly in water,26,68.0,5.3,346.0,100.0,246.0,Male,Adult,N/A,,6/14/2014,9:00,JRM & JMM,high desert,2
too small,6/15/2014,09:10:28,JRM & JMM,FALSE,N. P. RATTLESNAKE,Cloudy,9/9,Breeze,19.4,21.0,Coiled,GOLF COURSE,beside sagebrush,tee 2,322235.5448,5434917.431,,captured but not processed,,0.0,0.0,0.0,0.0,0.0,,Baby,N/A,,6/15/2014,9:10,JRM & JMM,same as capture,0
sighting,6/15/2014,09:46:27,JRM & JMM,FALSE,GOPHER SNAKE,Sunny/Cloudy,8/9,No wind,21.4,21.7,Moving,GOLF COURSE,under antelopebrush,green 3,322294.7416,5434713.272,,,,0.0,0.0,0.0,0.0,0.0,,Adult,,,6/15/2014,,,,0
47241f5a64,6/15/2014,10:20:57,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,6/9,Breeze,22.6,23.5,Basking,GOLF COURSE,open grass,green 5,322351.2988,5434872.143,,pgreen-yellow-purp/4 new rattles,36,63.3,3.7,274.0,71.0,203.0,Female,Adult,No,110-3465,6/15/2014,16:00,JRM & JMM,same as capture,0
0a180d5f51,6/15/2014,10:25:57,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny/Cloudy,6/9,Breeze,22.6,23.5,Coiled,GOLF COURSE,under antelope brush,green 5,322355.0418,5434867.741,,5 M from another rattler,34,50.9,3.8,241.0,112.0,129.0,Male,Sub-Adult,N/A,110-3466,6/15/2014,11:04,JRM & JMM,same as capture,0
0a13654b65,6/15/2014,11:25:42,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,5/9,Breeze,28.9,32.3,Moving,GOLF COURSE,open grass,tee 6,322402.8346,5434908.21,,carpink-llimegreen-yellow,79,51.5,5.0,262.0,100.0,162.0,Female,Adult,No,110-3467,6/15/2014,11:45,JRM & JMM,same as capture,0
4a1e1e2067,6/15/2014,12:11:58,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,7/9,Breeze,28.4,30.2,Basking,CONSTRUCTION SITE,sand beside fence,N dev site fence,322653.3161,5434865.234,,SIGHTING,,0.0,0.0,0.0,0.0,0.0,Male,Adult,,,6/15/2014,,,,0
too small,6/14/2014,16:45:08,Other,FALSE,N. P. RATTLESNAKE,Sunny/Cloudy,,,0.0,0.0,,CONSTRUCTION SITE,open sand,beside road,322660.1948,5434661.54,,,,0.0,0.0,0.0,0.0,0.0,,Baby,,,6/15/2014,12:05,JRM & JMM,N of dev site fence,0
sighting,6/15/2014,14:41:02,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,8/9,Breeze,24.6,26.1,Basking,ORCHARD/FARM,open grass,,322297.943,5434127.374,,GOLD POLISH,,0.0,0.0,0.0,0.0,0.0,,Adult,,,6/15/2014,,,,0
0a180d600d,6/14/2014,19:35:28,CG Staff,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,,site f8,321454.5234,5435012.799,,,77,51.4,3.2,178.0,82.0,96.0,Female,Adult,No,100-0005,6/16/2014,11:36,JRM & JMM,high desert,0
too small,6/12/2014,10:00:20,CG Staff,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,,CG Bistro,321409.7196,5434795.938,,,,0.0,0.0,0.0,0.0,0.0,,Baby,,,6/14/2014,9:00,JRM & JMM,high desert,2
sighting,6/16/2014,15:46:48,JRM & JMM,TRUE,N. P. RATTLESNAKE,Cloudy,8/9,Slight wind,21.4,22.6,Coiled,CONSTRUCTION SITE,sand along fende,N dev site fence,322656.3098,5434870.759,,burrows. 2m from last sighting,,0.0,0.0,0.0,0.0,0.0,Male,Adult,N/A,,6/16/2014,,,,0
4a1e1e2067,6/17/2014,11:34:16,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,6/9,Slight wind,22.6,23.3,Coiled,CONSTRUCTION SITE,sand Beside fence,N Dev site fence,322654.6105,5434868.321,,BURROWS,43,64.9,5.3,312.0,83.0,229.0,Male,Adult,N/A,100-0006,6/17/2014,11:44,JRM & JMM,same as capture,0
0a180d5f31,6/17/2014,13:15:20,JRM & JMM,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,under rock,rocks behind CG store,321502.8242,5434736.261,,coiled with 3 other males. shedding,30,60.3,5.6,296.0,127.0,169.0,Male,Sub-Adult,N/A,100-0007,6/17/2014,16:05,JRM & JMM,high desert,0
0a180d5f3b,6/17/2014,13:15:22,JRM & JMM,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,under rock,rocks behind CG store,321501.5615,5434730.69,,coiled w/ 3 other males. button forming,23,63.3,5.1,303.0,101.0,202.0,Male,Adult,N/A,100-0008,6/17/2014,,JRM & JMM,,0
485f450657,6/17/2014,13:15:46,JRM & JMM,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,under rock,rocks behind CG store,321502.2762,5434729.612,,coiled w/ 3 other males. button forming,14,72.8,5.9,352.0,83.0,269.0,Male,Adult,N/A,100-0009,6/17/2014,16:05,JRM & JMM,high desert,0
456a3a6a67,6/17/2014,13:15:12,JRM & JMM,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,under rock,rocks behind CG store,321501.294,5434729.055,,coiled w/ 3 other males. button forming,8,72.0,5.6,329.0,91.0,238.0,Male,Adult,N/A,100-0010,6/17/2014,16:05,JRM & JMM,high desert,0
0a180d5f53,6/17/2014,16:20:05,Interpreters,FALSE,GOPHER SNAKE,,,,0.0,0.0,,SHRUB STEPPE,open gravel,on path,322219.4399,5435115.242,,,44,57.5,11.1,177.0,103.0,74.0,Male,Sub-Adult,N/A,100-0011,6/18/2014,9:40,JRM & JMM,same as capture,0
0a13654b14,6/18/2014,15:07:29,CG Staff,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,,site c34,321675.8625,5434483.628,,,43,62.6,5.0,296.0,84.0,212.0,Male,Adult,N/A,100-0014,6/18/2014,17:25,JRM & JMM,high desert,0
too small,6/18/2014,13:00:46,CG Staff,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,,grass by bistro,321409.3926,5434795.282,,,,0.0,0.0,0.0,0.0,0.0,,Baby,,,6/18/2014,15:30,JRM & JMM,high desert,0
0a1367760d,6/18/2014,10:40:40,Interpreters,TRUE,N. P. RATTLESNAKE,,,,0.0,0.0,,RIPARIAN,,under bridge,322163.3014,5435027.718,,,28,54.5,4.6,231.0,111.0,120.0,Male,Sub-Adult,N/A,100-0013,6/18/2014,17:25,JRM & JMM,spadefoot pond,0
too small,6/19/2014,08:22:58,CG Staff,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,CAMPGROUND,,site 176,321388.802,5435160.053,,,,0.0,0.0,0.0,0.0,0.0,,Baby,,,6/19/2014,,,,0
0a180d5f37,6/19/2014,11:49:58,JRM & JMM,FALSE,N. P. RATTLESNAKE,Cloudy,9/9,Breeze,24.5,30.3,Coiled,GOLF COURSE,beside boulder,,322677.8047,5435066.875,,,36,0.0,0.0,0.0,0.0,0.0,,,,,6/19/2014,,,,0
471e4c7926,6/19/2014,10:40:25,JRM & JMM,TRUE,N. P. RATTLESNAKE,Cloudy,9/9,Breeze,24.5,30.3,Coiled,GOLF COURSE,antelopebrush,tee 7,322677.8712,5435067.063,,GEORDI,36,75.2,5.9,426.0,72.0,354.0,Male,Adult,N/A,100-0016,6/19/2014,11:16,JRM & JMM,same as capture,0
0a180d5f4f,6/19/2014,10:40:45,JRM & JMM,FALSE,N. P. RATTLESNAKE,Cloudy,9/9,Breeze,24.5,30.3,Coiled,GOLF COURSE,under antelopebrush,near tee 7,322678.125,5435066.787,,found Near 3 other RS,77,60.2,5.7,264.0,82.0,182.0,Male,Adult,N/A,100-0015,6/19/2014,11:01,JRM & JMM,same as capture,0
456a29484f,6/19/2014,11:51:16,JRM & JMM,TRUE,N. P. RATTLESNAKE,Cloudy,,Breeze,24.5,30.3,Coiled,GOLF COURSE,antelopebrush,tee 7,322678.0984,5435065.354,,,34,74.0,6.1,438.0,124.0,314.0,,Adult,,100-0018,6/19/2014,11:28,JRM & JMM,same as capture,0
0a180d5f73,6/19/2014,16:08:52,JRM & JMM,FALSE,GOPHER SNAKE,Sunny/Cloudy,6/9,Breeze,26.4,29.6,Moving,GOLF COURSE,open grass,GC fairway 9,322488.0254,5434589.714,,,99,89.7,14.0,334.0,118.0,116.0,Male,Adult,N/A,100-0020,6/19/2014,18:00,JRM & JMM,same as capture,0
0a180d5f72,6/19/2014,14:44:58,Interpreters,FALSE,N. P. RATTLESNAKE,,,,0.0,0.0,,OTHER,gravel under teepee,village,321972.6119,5435338.708,,,8,61.1,5.1,263.0,94.0,169.0,Male,Sub-Adult,N/A,100-0022,6/19/2014,17:46,JRM & JMM,riparian w of villag,0
456d5d4e38,6/20/2014,09:36:42,JRM & JMM,TRUE,N. P. RATTLESNAKE,Sunny/Cloudy,7/9,No wind,24.8,25.0,Basking,SHRUB STEPPE,grass beside bridge,spadefoot bridge,322149.703,5435049.521,,,30,68.5,6.0,383.0,128.0,255.0,Male,Adult,N/A,110-3471,6/20/2014,16:15,JRM & JMM,same as capture,0
0a180d5f66,6/20/2014,10:33:51,JRM & JMM,FALSE,GOPHER SNAKE,Sunny/Cloudy,4/9,Breeze,26.0,27.0,Coiled,CAMPGROUND,under rocks,rocks near store,321499.8229,5434735.556,,,ps i love you,85.0,13.4,377.0,104.0,273.0,Female,Adult,No,110-3472,6/20/2014,16:00,JRM & JMM,high desert,0
0a180d5f63,6/23/2014,10:30:56,Interpreters,FALSE,GOPHER SNAKE,,,,0.0,0.0,,SHRUB STEPPE,,just before village,322021.2852,5435308.743,,,36,81.4,12.6,248.0,72.0,176.0,Female,Adult,No,110-3473,6/23/2014,18:40,JRM & JMM,same as capture,0
0a1367756a,6/26/2014,11:13:25,JRM & JMM,FALSE,N. P. RATTLESNAKE,Sunny,3/9,Breeze,27.3,27.7,Moving,GOLF COURSE,under rabbiit brush,hole 1 bunker,322188.4971,5434868.409,,,23,57.2,3.1,262.0,101.0,161.0,Female,Sub-Adult,No,100-0023,6/26/2014,14:00,JRM & JMM,same as capture,0
0a180d5f57,6/27/2014,16:00:52,CG Staff,FALSE,GOPHER SNAKE,,,,0.0,0.0,,CAMPGROUND,,north end of CG,321350.7755,5435289.806,,,77,77.2,11.3,282.0,82.0,200.0,Female,Adult,No,100-0025,6/28/2014,11:30,JRM & JMM,high desert,1
